epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,732.85,0.30016,0.21436,0.86388,0.98899,1,0.995,0.96329,0.30573,0.17153,0.67399,0.000374074,0.000374074,0.000374074
136,738.188,0.29951,0.21587,0.85354,0.99402,1,0.995,0.96736,0.30145,0.17312,0.66968,0.000368574,0.000368574,0.000368574
137,743.518,0.30879,0.21103,0.86226,0.99102,0.99943,0.995,0.97216,0.29121,0.16495,0.66632,0.000363075,0.000363075,0.000363075
138,748.922,0.30314,0.21478,0.86621,0.99813,0.98945,0.995,0.9666,0.29045,0.16265,0.66888,0.000357575,0.000357575,0.000357575
139,754.297,0.30458,0.21309,0.85583,0.99826,0.98975,0.99489,0.96939,0.29756,0.16374,0.67086,0.000352076,0.000352076,0.000352076
140,759.585,0.30654,0.20533,0.85534,0.99639,0.99842,0.995,0.97113,0.2879,0.15973,0.6653,0.000346576,0.000346576,0.000346576
141,764.958,0.29599,0.20064,0.86206,0.99509,1,0.995,0.97002,0.29382,0.15839,0.66844,0.000341077,0.000341077,0.000341077
142,770.271,0.3056,0.20456,0.85599,0.99373,1,0.995,0.97348,0.28988,0.15964,0.66877,0.000335578,0.000335578,0.000335578
143,775.699,0.29608,0.19915,0.85729,0.99526,1,0.995,0.97206,0.29149,0.17215,0.66518,0.000330078,0.000330078,0.000330078
144,781.047,0.29051,0.20631,0.86122,0.99595,1,0.995,0.9721,0.27885,0.15322,0.66359,0.000324579,0.000324579,0.000324579
145,786.349,0.29723,0.21122,0.85625,0.99592,0.99955,0.995,0.97488,0.28953,0.15424,0.66816,0.000319079,0.000319079,0.000319079
146,791.766,0.30267,0.21414,0.86833,0.99522,1,0.995,0.97046,0.29626,0.16382,0.66639,0.00031358,0.00031358,0.00031358
147,797.136,0.31285,0.20525,0.86615,0.99366,0.9989,0.995,0.97217,0.29287,0.16025,0.6663,0.00030808,0.00030808,0.00030808
148,802.568,0.30361,0.21027,0.87165,0.99417,0.99974,0.995,0.96905,0.3018,0.16773,0.66977,0.000302581,0.000302581,0.000302581
149,807.988,0.29695,0.19807,0.86373,0.99187,1,0.995,0.97291,0.29712,0.16021,0.66839,0.000297081,0.000297081,0.000297081
150,813.333,0.30102,0.20092,0.86631,0.99469,0.99946,0.995,0.97192,0.29379,0.16221,0.66645,0.000291582,0.000291582,0.000291582
151,818.698,0.29127,0.19952,0.86041,0.99627,0.99465,0.995,0.97283,0.28968,0.15672,0.66662,0.000286083,0.000286083,0.000286083
152,824.073,0.29342,0.20455,0.85493,0.99431,0.99503,0.995,0.96761,0.28869,0.15911,0.66573,0.000280583,0.000280583,0.000280583
153,829.357,0.28612,0.20888,0.85695,0.99164,0.99949,0.995,0.96587,0.29863,0.16525,0.6676,0.000275084,0.000275084,0.000275084
154,834.712,0.28742,0.19263,0.85207,0.99245,1,0.995,0.96948,0.2945,0.16266,0.66777,0.000269584,0.000269584,0.000269584
155,840.088,0.29605,0.2314,0.86283,0.99109,1,0.995,0.96702,0.30093,0.17209,0.66947,0.000264085,0.000264085,0.000264085
156,845.258,0.29692,0.21042,0.8633,0.99573,0.99483,0.995,0.96515,0.30173,0.16857,0.66913,0.000258585,0.000258585,0.000258585
157,850.633,0.30141,0.21219,0.86292,0.99458,0.99918,0.995,0.96807,0.28861,0.15315,0.66606,0.000253086,0.000253086,0.000253086
158,855.937,0.28626,0.1985,0.8583,0.99454,1,0.995,0.96562,0.29876,0.15957,0.66985,0.000247586,0.000247586,0.000247586
159,861.269,0.2805,0.19796,0.85569,0.99533,1,0.995,0.9674,0.30487,0.15544,0.67216,0.000242087,0.000242087,0.000242087
160,866.66,0.27728,0.1898,0.85123,0.99487,0.9994,0.995,0.96682,0.30159,0.15085,0.67085,0.000236587,0.000236587,0.000236587
161,871.927,0.29753,0.19981,0.84832,0.99399,0.99951,0.995,0.97238,0.2929,0.1442,0.66764,0.000231088,0.000231088,0.000231088
162,877.317,0.28581,0.19869,0.84861,0.99375,0.99991,0.995,0.97152,0.29297,0.15125,0.66669,0.000225589,0.000225589,0.000225589
163,882.709,0.26862,0.19167,0.85339,0.99292,1,0.995,0.97513,0.29734,0.15286,0.66972,0.000220089,0.000220089,0.000220089
164,888.053,0.33002,0.23264,0.88399,0.99328,1,0.995,0.97427,0.28898,0.15744,0.6673,0.00021459,0.00021459,0.00021459
165,893.352,0.2813,0.18998,0.86024,0.99377,1,0.995,0.97298,0.28677,0.15255,0.66642,0.00020909,0.00020909,0.00020909
166,898.686,0.30471,0.20371,0.85148,0.99484,1,0.995,0.9705,0.28241,0.15478,0.66707,0.000203591,0.000203591,0.000203591
167,903.982,0.27657,0.19133,0.85096,0.99578,0.99954,0.995,0.9739,0.28104,0.15627,0.66719,0.000198091,0.000198091,0.000198091
168,909.409,0.27512,0.1898,0.85556,0.99588,0.99938,0.995,0.97288,0.28285,0.14975,0.6655,0.000192592,0.000192592,0.000192592
169,914.742,0.28385,0.18398,0.84554,0.9948,1,0.995,0.97114,0.28777,0.15717,0.66603,0.000187092,0.000187092,0.000187092
170,920.035,0.29716,0.19797,0.85418,0.99552,1,0.995,0.97095,0.28507,0.15137,0.66351,0.000181593,0.000181593,0.000181593
171,925.456,0.27672,0.18098,0.84649,0.99688,1,0.995,0.9731,0.28703,0.14541,0.66371,0.000176094,0.000176094,0.000176094
172,930.78,0.27685,0.18561,0.85452,0.99761,1,0.995,0.97332,0.29259,0.14802,0.6669,0.000170594,0.000170594,0.000170594
173,936.048,0.28392,0.18993,0.85324,0.99693,1,0.995,0.97412,0.29032,0.14733,0.66589,0.000165095,0.000165095,0.000165095
174,941.414,0.29438,0.19152,0.86178,0.99578,1,0.995,0.97637,0.28387,0.1415,0.66285,0.000159595,0.000159595,0.000159595
175,946.764,0.27326,0.17861,0.85774,0.99487,1,0.995,0.97441,0.28564,0.1489,0.66234,0.000154096,0.000154096,0.000154096
176,951.998,0.27521,0.18478,0.84665,0.99409,0.99964,0.995,0.96785,0.28772,0.15034,0.6624,0.000148596,0.000148596,0.000148596
177,957.291,0.27188,0.18373,0.85259,0.99457,1,0.995,0.97382,0.28652,0.14832,0.66212,0.000143097,0.000143097,0.000143097
178,962.643,0.28053,0.19305,0.86312,0.9931,0.99915,0.995,0.97149,0.28144,0.1498,0.66316,0.000137597,0.000137597,0.000137597
179,968.063,0.27114,0.17566,0.85022,0.99223,1,0.995,0.97171,0.27519,0.14711,0.66145,0.000132098,0.000132098,0.000132098
180,973.393,0.27416,0.1815,0.84672,0.99122,1,0.995,0.97098,0.27775,0.14528,0.66046,0.000126598,0.000126598,0.000126598
181,978.637,0.2601,0.17354,0.84516,0.99188,1,0.995,0.9714,0.27925,0.14412,0.661,0.000121099,0.000121099,0.000121099
182,983.966,0.27444,0.18202,0.85044,0.99534,1,0.995,0.97577,0.2752,0.14961,0.6593,0.0001156,0.0001156,0.0001156
183,989.326,0.28575,0.18357,0.86004,0.99654,1,0.995,0.97177,0.27696,0.15054,0.65981,0.0001101,0.0001101,0.0001101
