stamp_ns,ns,class_id,score,meas_u,meas_v,proj_u,proj_v,reproj_px,cam_x,cam_y,cam_z,world_x,world_y,world_z,disp_med,mad,consistency
81948000000,drone1,3,0.932345,513,63,513,63,0,20.5867,-18.88,40.6787,39.3066,-19.039,-21.3755,0.9375,0.3125,MISMATCH_expected_left
81984000000,drone1,3,0.942716,515,65,515,65,0,19.5,-17.5,38.1362,37.335,-17.669,-19.4414,1,0.1875,MISMATCH_expected_left
82016000000,drone1,3,0.94203,512,65,512,65,0,19.2,-17.5,38.1362,37.4089,-17.6683,-19.1681,1,0.25,MISMATCH_expected_left
82140000000,drone1,3,0.941604,509,65,509,65,0,18.9,-17.5,38.1362,37.3646,-17.6656,-19.033,1,0.1875,MISMATCH_expected_left
82176000000,drone1,3,0.942207,521,65,521,65,0,20.1,-17.5,38.1362,37.0277,-17.6666,-20.1776,1,0.1875,MISMATCH_expected_left
82204000000,drone1,3,0.940769,509,66,509,66,0,17.7882,-16.3765,35.8929,35.5304,-16.5499,-17.3302,1.0625,0.1875,MISMATCH_expected_left
82240000000,drone1,3,0.940145,512,64,512,64,0,19.2,-17.6,38.1362,37.261,-17.765,-19.3497,1,0.1875,MISMATCH_expected_left
82272000000,drone1,3,0.939662,524,65,524,65,0,21.76,-18.6667,40.6787,38.9393,-18.8244,-22.5603,0.9375,0.1875,MISMATCH_expected_left
82304000000,drone1,3,0.939452,526,65,526,65,0,23.5429,-20,43.5843,41.1991,-20.1465,-25.1233,0.875,0.125,MISMATCH_expected_left
82356000000,drone1,3,0.939166,513,65,513,65,0,19.3,-17.5,38.1362,37.1894,-17.6673,-19.5041,1,0.1875,MISMATCH_expected_left
82412000000,drone1,3,0.93838,522,65,522,65,0,19.0118,-16.4706,35.8929,35.1212,-16.6494,-18.5827,1.0625,0.25,MISMATCH_expected_left
82484000000,drone1,3,0.938084,524,66,524,66,0,20.4,-17.4,38.1362,36.8769,-17.5698,-20.5615,1,0.25,MISMATCH_expected_left
82552000000,drone1,3,0.937415,523,67,523,67,0,20.3,-17.3,38.1362,36.9247,-17.47,-20.4528,1,0.3125,MISMATCH_expected_left
82588000000,drone1,3,0.938402,528,67,528,67,0,23.7714,-19.7714,43.5843,41.1535,-19.9195,-25.3494,0.875,0.25,MISMATCH_expected_left
82660000000,drone1,3,0.937853,510,68,510,68,0,19,-17.2,38.1362,37.3323,-17.364,-19.1906,1,0.25,MISMATCH_expected_left
82692000000,drone1,3,0.938385,520,67,520,67,0,20,-17.3,38.1362,37.0472,-17.4652,-20.1473,1,0.4375,MISMATCH_expected_left
82724000000,drone1,3,0.938801,511,67,511,67,0,20.3733,-18.4533,40.6787,39.3775,-18.6047,-21.2474,0.9375,0.25,MISMATCH_expected_left
82784000000,drone1,3,0.940778,514,89,514,89,0,5.64364,-4.39273,11.0942,15.2696,-4.66865,1.42686,3.4375,0.75,MISMATCH_expected_left
82816000000,drone1,3,0.940373,510,69,510,69,0,21.7143,-19.5429,43.5843,41.7687,-19.6789,-23.3943,0.875,0.25,MISMATCH_expected_left
82840000000,drone1,3,0.943081,519,69,519,69,0,19.9,-17.1,38.1362,37.0683,-17.2608,-20.0808,1,0.3125,MISMATCH_expected_left
82876000000,drone1,3,0.942921,510,68,510,68,0,19,-17.2,38.1362,37.3309,-17.3581,-19.2247,1,0.3125,MISMATCH_expected_left
82908000000,drone1,3,0.940997,509,70,509,70,0,18.9,-17,38.1362,37.3609,-17.1575,-19.1314,1,0.25,MISMATCH_expected_left
82940000000,drone1,3,0.941657,507,70,507,70,0,18.7,-17,38.1362,37.4212,-17.1566,-18.9424,1,0.375,MISMATCH_expected_left
83000000000,drone1,3,0.94205,507,69,507,69,0,14.96,-13.68,30.509,31.2061,-13.8676,-13.142,1.25,0.75,MISMATCH_expected_left
83028000000,drone1,3,0.942628,514,70,514,70,0,19.4,-17,38.1362,37.2337,-17.1555,-19.608,1,0.3125,MISMATCH_expected_left
83064000000,drone1,3,0.942347,509,71,509,71,0,18.9,-16.9,38.1362,37.3833,-17.0533,-19.1292,1,0.1875,MISMATCH_expected_left
83100000000,drone1,3,0.941666,520,70,520,70,0,20,-17,38.1362,37.0653,-17.1546,-20.1836,1,0.25,MISMATCH_expected_left
83120000000,drone1,3,0.941922,509,71,509,71,0,16.8,-15.0222,33.8989,33.9351,-15.1912,-15.8908,1.125,0.6875,MISMATCH_expected_left
83156000000,drone1,3,0.941497,526,90,526,90,0,5.99273,-4.36364,11.0942,15.2134,-4.62989,1.08734,3.4375,2.5625,MISMATCH_expected_left
83224000000,drone1,3,0.941703,539,79,539,79,0,14.6,-10.7333,25.4242,26.4587,-10.9402,-11.3192,1.5,1.125,MISMATCH_expected_left
83272000000,drone1,3,0.942295,506,74,506,74,0,15.6632,-13.9789,32.1147,32.5711,-14.1515,-14.2862,1.1875,0.4375,MISMATCH_expected_left
83492000000,drone1,3,0.943646,522,91,522,91,0,6.59592,-4.86531,12.4527,16.367,-5.124,0.101795,3.0625,1,MISMATCH_expected_left
83600000000,drone1,3,0.943408,518,69,518,69,0,6.336,-5.472,12.2036,16.2145,-5.73193,0.419854,3.125,1.9375,MISMATCH_expected_left
83600000000,drone1,4,0.907023,308,335,308,335,0,-1.12941,8.94118,35.8929,40.9671,8.82557,0.633774,0.648611,0.440425,OK_right
83688000000,drone1,3,0.94325,525,80,525,80,0,6.69388,-5.22449,12.4527,16.3493,-5.48403,0.00233757,3.0625,1.875,MISMATCH_expected_left
