stamp_sec,method,N,MedErr,RMSE,P95,MeanLogDet
539.312,ci,282,3.19706,3.34081,4.36392,-6.26081
539.312,ftci,282,3.19205,3.36379,4.40005,-6.34203
539.376,ci,284,3.19706,3.33984,4.36361,-6.26229
539.376,ftci,284,3.19205,3.36252,4.39995,-6.34296
539.4,ci,286,3.19706,3.33889,4.3633,-6.26365
539.4,ftci,286,3.19205,3.36128,4.39985,-6.34372
539.472,ci,288,3.19706,3.33795,4.36298,-6.26504
539.472,ftci,288,3.19205,3.36004,4.39975,-6.34457
539.5,ci,290,3.19706,3.33702,4.36267,-6.26632
539.5,ftci,290,3.19205,3.35882,4.39965,-6.34526
539.552,ci,292,3.19706,3.33609,4.36236,-6.26758
539.552,ftci,292,3.19205,3.35761,4.39955,-6.34605
539.6,ci,294,3.19706,3.33515,4.36204,-6.26884
539.6,ftci,294,3.19205,3.35639,4.39945,-6.3468
539.684,ci,296,3.19706,3.33419,4.36173,-6.2701
539.684,ftci,296,3.19205,3.35518,4.39935,-6.34752
539.756,ci,298,3.19706,3.33322,4.36142,-6.27141
539.756,ftci,298,3.19205,3.35397,4.39925,-6.34834
539.848,ci,300,3.19706,3.33223,4.3611,-6.27266
539.848,ftci,300,3.19205,3.35277,4.39916,-6.34907
539.92,ci,302,3.19706,3.33124,4.36078,-6.27391
539.92,ftci,302,3.19205,3.35157,4.39909,-6.34971
540,ci,304,3.19706,3.33026,4.36045,-6.27512
540,ftci,304,3.19205,3.35041,4.39907,-6.35045
540.076,ci,306,3.19706,3.3293,4.36013,-6.27629
540.076,ftci,306,3.19205,3.34929,4.39905,-6.35111
540.112,ci,308,3.19706,3.32837,4.3598,-6.27747
540.112,ftci,308,3.19205,3.34819,4.39903,-6.35182
540.18,ci,310,3.19706,3.32756,4.35947,-6.27861
540.18,ftci,310,3.19205,3.3472,4.399,-6.35249
540.212,ci,312,3.19706,3.32684,4.35914,-6.2798
540.212,ftci,312,3.19205,3.34629,4.39898,-6.35324
540.28,ci,314,3.19706,3.32617,4.35881,-6.28089
540.28,ftci,314,3.19205,3.34543,4.39896,-6.35383
540.348,ci,316,3.19706,3.32558,4.35849,-6.28202
540.348,ftci,316,3.19205,3.34463,4.39894,-6.35452
540.416,ci,318,3.19706,3.32506,4.35816,-6.28313
540.416,ftci,318,3.19205,3.34391,4.39891,-6.35519
540.5,ci,320,3.19706,3.3246,4.35783,-6.28423
540.5,ftci,320,3.19205,3.34327,4.39889,-6.35584
540.58,ci,322,3.19706,3.3242,4.35755,-6.28528
540.58,ftci,322,3.19205,3.34267,4.39863,-6.35643
540.676,ci,324,3.19706,3.32381,4.35733,-6.28633
540.676,ftci,324,3.19205,3.34208,4.39812,-6.35705
540.744,ci,326,3.19706,3.32343,4.3571,-6.28736
540.744,ftci,326,3.19205,3.3415,4.3976,-6.35765
540.824,ci,328,3.19706,3.32306,4.35688,-6.28842
540.824,ftci,328,3.19205,3.34093,4.39709,-6.35829
540.904,ci,330,3.19706,3.32262,4.35665,-6.28707
540.904,ftci,330,3.19205,3.34048,4.39658,-6.35748
541,ci,332,3.19706,3.3222,4.35643,-6.28612
541,ftci,332,3.19205,3.34,4.39607,-6.3568
541.1,ci,334,3.19706,3.32184,4.3562,-6.28564
541.1,ftci,334,3.19205,3.33958,4.39556,-6.35627
541.168,ci,336,3.19706,3.32152,4.35598,-6.28555
541.168,ftci,336,3.19205,3.33918,4.39505,-6.35595
541.252,ci,338,3.19706,3.32125,4.35575,-6.28554
541.252,ftci,338,3.19205,3.33882,4.39454,-6.35559
541.336,ci,340,3.19706,3.32102,4.35553,-6.28535
541.336,ftci,340,3.19205,3.33851,4.39403,-6.35519
541.404,ci,342,3.19706,3.32083,4.35511,-6.28543
541.404,ftci,342,3.19205,3.33821,4.39376,-6.35496
541.5,ci,344,3.19706,3.32068,4.35451,-6.28576
541.5,ftci,344,3.19205,3.33794,4.39372,-6.35491
541.564,ci,346,3.19706,3.32055,4.35391,-6.28634
541.564,ftci,346,3.19205,3.33768,4.39368,-6.3551
541.66,ci,348,3.19706,3.32045,4.3533,-6.287
541.66,ftci,348,3.19205,3.33745,4.39365,-6.35531
541.728,ci,350,3.19706,3.32038,4.3527,-6.28779
541.728,ftci,350,3.19205,3.33725,4.39361,-6.3557
541.8,ci,352,3.19706,3.32033,4.35209,-6.28858
541.8,ftci,352,3.19205,3.33706,4.39357,-6.35606
