stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
535600000000,/,drone1,1,4,"container5",world,30.8159,-2.80625,0,0.0878383,0,0,0,0.0878383,0,0,0,0.202544
535692000000,/,drone2,0,3,"container4",world,27.995,4.55597,0,0.0875633,0,0,0,0.0875633,0,0,0,0.202012
535692000000,/,drone1,1,4,"container5",world,30.8172,-2.80471,0,0.0879242,0,0,0,0.0879242,0,0,0,0.202661
535792000000,/,drone2,0,3,"container4",world,27.9945,4.55105,0,0.0877932,0,0,0,0.0877932,0,0,0,0.202413
535792000000,/,drone1,1,4,"container5",world,30.8181,-2.80461,0,0.0877781,0,0,0,0.0877781,0,0,0,0.202379
535864000000,/,drone2,0,3,"container4",world,27.9973,4.54154,0,0.0878819,0,0,0,0.0878819,0,0,0,0.20258
535864000000,/,drone1,1,4,"container5",world,30.8182,-2.80599,0,0.0878855,0,0,0,0.0878855,0,0,0,0.202572
535956000000,/,drone2,0,3,"container4",world,27.9982,4.53191,0,0.0880114,0,0,0,0.0880114,0,0,0,0.202817
535956000000,/,drone1,1,4,"container5",world,30.8167,-2.80943,0,0.0880196,0,0,0,0.0880196,0,0,0,0.202815
536000000000,/,drone2,0,3,"container4",world,27.997,4.52444,0,0.0878386,0,0,0,0.0878386,0,0,0,0.202501
536000000000,/,drone1,1,4,"container5",world,30.8173,-2.81161,0,0.0879463,0,0,0,0.0879463,0,0,0,0.202682
536096000000,/,drone2,0,3,"container4",world,27.9985,4.51777,0,0.0879224,0,0,0,0.0879224,0,0,0,0.20264
536096000000,/,drone1,1,4,"container5",world,30.8178,-2.81097,0,0.0876975,0,0,0,0.0876975,0,0,0,0.202239
536184000000,/,drone2,0,3,"container4",world,28.0014,4.51425,0,0.0877729,0,0,0,0.0877729,0,0,0,0.20237
536184000000,/,drone1,1,4,"container5",world,30.8196,-2.81077,0,0.0877251,0,0,0,0.0877251,0,0,0,0.202277
536252000000,/,drone2,0,3,"container4",world,28.0048,4.50857,0,0.0878283,0,0,0,0.0878283,0,0,0,0.202478
536252000000,/,drone1,1,4,"container5",world,30.8208,-2.80956,0,0.0878247,0,0,0,0.0878247,0,0,0,0.202465
536316000000,/,drone2,0,3,"container4",world,28.0092,4.50401,0,0.0880583,0,0,0,0.0880583,0,0,0,0.202895
536316000000,/,drone1,1,4,"container5",world,30.8201,-2.80786,0,0.0879458,0,0,0,0.0879458,0,0,0,0.202691
536400000000,/,drone2,0,3,"container4",world,28.0147,4.50175,0,0.0878877,0,0,0,0.0878877,0,0,0,0.202592
536400000000,/,drone1,1,4,"container5",world,30.8197,-2.80691,0,0.0878677,0,0,0,0.0878677,0,0,0,0.202552
536500000000,/,drone2,0,3,"container4",world,28.0213,4.49848,0,0.0881037,0,0,0,0.0881037,0,0,0,0.202964
536500000000,/,drone1,1,4,"container5",world,30.8183,-2.80491,0,0.088107,0,0,0,0.088107,0,0,0,0.202964
536584000000,/,drone2,0,3,"container4",world,28.0368,4.49917,0,0.0883395,0,0,0,0.0883395,0,0,0,0.203374
536584000000,/,drone1,1,4,"container5",world,30.8293,-2.81989,0,0.0948724,0,0,0,0.0948724,0,0,0,0.216969
536648000000,/,drone2,0,3,"container4",world,28.0491,4.4995,0,0.08791,0,0,0,0.08791,0,0,0,0.202621
536648000000,/,drone1,1,4,"container5",world,30.8269,-2.81975,0,0.0940446,0,0,0,0.0940446,0,0,0,0.216085
536712000000,/,drone2,0,3,"container4",world,28.0574,4.50014,0,0.0881375,0,0,0,0.0881375,0,0,0,0.203031
536712000000,/,drone1,1,4,"container5",world,30.8232,-2.81739,0,0.0929096,0,0,0,0.0929096,0,0,0,0.214244
536800000000,/,drone2,0,3,"container4",world,28.0623,4.50012,0,0.0878401,0,0,0,0.0878401,0,0,0,0.202507
536800000000,/,drone1,1,4,"container5",world,30.8188,-2.81465,0,0.0913353,0,0,0,0.0913353,0,0,0,0.211406
536884000000,/,drone2,0,3,"container4",world,28.0664,4.5005,0,0.0881,0,0,0,0.0881,0,0,0,0.202949
536884000000,/,drone1,1,4,"container5",world,30.8156,-2.81145,0,0.0903066,0,0,0,0.0903066,0,0,0,0.209312
536980000000,/,drone2,0,3,"container4",world,28.0699,4.50095,0,0.0883385,0,0,0,0.0883385,0,0,0,0.203369
536980000000,/,drone1,1,4,"container5",world,30.8112,-2.8096,0,0.0896289,0,0,0,0.0896289,0,0,0,0.20775
537020000000,/,drone2,0,3,"container4",world,28.0685,4.50041,0,0.0879097,0,0,0,0.0879097,0,0,0,0.202618
537020000000,/,drone1,1,4,"container5",world,30.808,-2.80613,0,0.0887197,0,0,0,0.0887197,0,0,0,0.205853
537100000000,/,drone2,0,3,"container4",world,28.0639,4.50096,0,0.0881374,0,0,0,0.0881374,0,0,0,0.203029
537100000000,/,drone1,1,4,"container5",world,30.8069,-2.80186,0,0.0886396,0,0,0,0.0886396,0,0,0,0.205441
537180000000,/,drone2,0,3,"container4",world,28.0553,4.49909,0,0.0879484,0,0,0,0.0879484,0,0,0,0.202701
537180000000,/,drone1,1,4,"container5",world,30.8064,-2.7948,0,0.08825,0,0,0,0.08825,0,0,0,0.20449
537256000000,/,drone2,0,3,"container4",world,28.0399,4.49202,0,0.0881269,0,0,0,0.0881269,0,0,0,0.202996
537256000000,/,drone1,1,4,"container5",world,30.8003,-2.78113,0,0.0879153,0,0,0,0.0879153,0,0,0,0.203555
537332000000,/,drone2,0,3,"container4",world,28.03,4.49073,0,0.0878242,0,0,0,0.0878242,0,0,0,0.202454
537332000000,/,drone1,1,4,"container5",world,30.7992,-2.77144,0,0.0876744,0,0,0,0.0876744,0,0,0,0.202889
537400000000,/,drone2,0,3,"container4",world,28.0325,4.49219,0,0.0879502,0,0,0,0.0879502,0,0,0,0.20269
537400000000,/,drone1,1,4,"container5",world,30.8004,-2.75242,0,0.0879218,0,0,0,0.0879218,0,0,0,0.203146
537480000000,/,drone2,0,3,"container4",world,28.0362,4.49374,0,0.0877567,0,0,0,0.0877567,0,0,0,0.202347
537480000000,/,drone1,1,4,"container5",world,30.801,-2.74189,0,0.087751,0,0,0,0.087751,0,0,0,0.202686
537572000000,/,drone2,0,3,"container4",world,28.0412,4.49296,0,0.0880583,0,0,0,0.0880583,0,0,0,0.202883
