stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
258820000000,/,drone2,26,2,"container3",world,10.5743,9.66776,0,0.0884724,0,0,0,0.0884724,0,0,0,0.204292
258820000000,/,drone2,28,1,"container2",world,12.3693,2.88024,0,0.0910123,0,0,0,0.0910123,0,0,0,0.213958
258820000000,/,drone1,29,0,"container1",world,10.6151,-4.92917,0,0.088013,0,0,0,0.088013,0,0,0,0.202804
258820000000,/,drone2,30,0,"container1",world,10.8447,-4.79119,0,0.0884555,0,0,0,0.0884555,0,0,0,0.204667
258900000000,/,drone2,26,2,"container3",world,10.5623,9.65088,0,0.0881572,0,0,0,0.0881572,0,0,0,0.203558
258900000000,/,drone2,28,1,"container2",world,12.3707,2.87775,0,0.0907962,0,0,0,0.0907962,0,0,0,0.21339
258900000000,/,drone1,29,0,"container1",world,10.6157,-4.92984,0,0.0878408,0,0,0,0.0878408,0,0,0,0.202501
258900000000,/,drone2,30,0,"container1",world,10.8434,-4.79357,0,0.0882324,0,0,0,0.0882324,0,0,0,0.20404
258988000000,/,drone2,26,2,"container3",world,10.5493,9.63426,0,0.087758,0,0,0,0.087758,0,0,0,0.202698
258988000000,/,drone2,28,1,"container2",world,12.3717,2.87562,0,0.0905463,0,0,0,0.0905463,0,0,0,0.212793
258988000000,/,drone1,29,0,"container1",world,10.6164,-4.93088,0,0.0876563,0,0,0,0.0876563,0,0,0,0.202167
258988000000,/,drone2,30,0,"container1",world,10.8425,-4.79649,0,0.0879047,0,0,0,0.0879047,0,0,0,0.203259
259060000000,/,drone2,26,2,"container3",world,10.5301,9.6143,0,0.0877169,0,0,0,0.0877169,0,0,0,0.202607
259060000000,/,drone2,28,1,"container2",world,12.3719,2.87506,0,0.0904834,0,0,0,0.0904834,0,0,0,0.212642
259060000000,/,drone1,29,0,"container1",world,10.6159,-4.93165,0,0.0876895,0,0,0,0.0876895,0,0,0,0.202219
259060000000,/,drone2,30,0,"container1",world,10.8421,-4.79796,0,0.087739,0,0,0,0.087739,0,0,0,0.202864
259152000000,/,drone2,26,2,"container3",world,10.5173,9.59519,0,0.0879268,0,0,0,0.0879268,0,0,0,0.202804
259152000000,/,drone2,28,1,"container2",world,11.9261,2.08713,0,0.461368,0,0,0,0.461368,0,0,0,0.925709
259152000000,/,drone1,29,0,"container1",world,10.6135,-4.93224,0,0.0878007,0,0,0,0.0878007,0,0,0,0.202423
259152000000,/,drone2,30,0,"container1",world,10.8428,-4.8041,0,0.0947997,0,0,0,0.0947997,0,0,0,0.216122
259212000000,/,drone2,26,2,"container3",world,10.5023,9.57446,0,0.0882511,0,0,0,0.0882511,0,0,0,0.203345
259212000000,/,drone2,28,1,"container2",world,11.9166,2.08327,0,0.386749,0,0,0,0.386749,0,0,0,0.813575
259212000000,/,drone1,29,0,"container1",world,10.6101,-4.93224,0,0.0879634,0,0,0,0.0879634,0,0,0,0.202719
259212000000,/,drone2,30,0,"container1",world,10.8434,-4.80873,0,0.0964872,0,0,0,0.0964872,0,0,0,0.219789
259300000000,/,drone2,26,2,"container3",world,10.4928,9.55973,0,0.0879727,0,0,0,0.0879727,0,0,0,0.202847
259300000000,/,drone2,28,1,"container2",world,11.9181,2.09483,0,0.3249,0,0,0,0.3249,0,0,0,0.710637
259300000000,/,drone1,29,0,"container1",world,10.6075,-4.9317,0,0.0878159,0,0,0,0.0878159,0,0,0,0.202459
259300000000,/,drone2,30,0,"container1",world,10.8438,-4.8127,0,0.0959182,0,0,0,0.0959182,0,0,0,0.219384
259388000000,/,drone2,26,2,"container3",world,10.4824,9.54303,0,0.0882311,0,0,0,0.0882311,0,0,0,0.203299
259388000000,/,drone2,28,1,"container2",world,11.933,2.1252,0,0.273156,0,0,0,0.273156,0,0,0,0.615661
259388000000,/,drone1,29,0,"container1",world,10.6051,-4.93075,0,0.0880017,0,0,0,0.0880017,0,0,0,0.202778
259388000000,/,drone2,30,0,"container1",world,10.8442,-4.81642,0,0.0950062,0,0,0,0.0950062,0,0,0,0.218217
259476000000,/,drone2,26,2,"container3",world,10.477,9.53075,0,0.088289,0,0,0,0.088289,0,0,0,0.203416
259476000000,/,drone2,28,1,"container2",world,11.9534,2.16372,0,0.226346,0,0,0,0.226346,0,0,0,0.523604
259476000000,/,drone1,29,0,"container1",world,10.6035,-4.92989,0,0.0879726,0,0,0,0.0879726,0,0,0,0.202723
259476000000,/,drone2,30,0,"container1",world,10.8441,-4.82134,0,0.0936482,0,0,0,0.0936482,0,0,0,0.216077
259552000000,/,drone2,26,2,"container3",world,10.4659,9.52197,0,0.088148,0,0,0,0.088148,0,0,0,0.203196
259552000000,/,drone2,28,1,"container2",world,11.9802,2.21248,0,0.183697,0,0,0,0.183697,0,0,0,0.433988
259552000000,/,drone1,29,0,"container1",world,10.6028,-4.92946,0,0.087958,0,0,0,0.087958,0,0,0,0.202696
259552000000,/,drone2,30,0,"container1",world,10.8434,-4.82563,0,0.0922059,0,0,0,0.0922059,0,0,0,0.213589
259604000000,/,drone2,26,2,"container3",world,10.4614,9.51983,0,0.0882122,0,0,0,0.0882122,0,0,0,0.203335
259604000000,/,drone2,28,1,"container2",world,12.009,2.26521,0,0.146095,0,0,0,0.146095,0,0,0,0.351562
259604000000,/,drone1,29,0,"container1",world,10.6012,-4.9268,0,0.0880416,0,0,0,0.0880416,0,0,0,0.202855
259604000000,/,drone2,30,0,"container1",world,10.8455,-4.82985,0,0.0910197,0,0,0,0.0910197,0,0,0,0.211331
259700000000,/,drone2,26,2,"container3",world,10.4567,9.52009,0,0.0879947,0,0,0,0.0879947,0,0,0,0.202961
259700000000,/,drone2,28,1,"container2",world,12.0388,2.31875,0,0.118421,0,0,0,0.118421,0,0,0,0.288604
259700000000,/,drone1,29,0,"container1",world,10.6007,-4.92467,0,0.0878552,0,0,0,0.0878552,0,0,0,0.202527
259700000000,/,drone2,30,0,"container1",world,10.8485,-4.83339,0,0.0899331,0,0,0,0.0899331,0,0,0,0.209155
259780000000,/,drone2,26,2,"container3",world,10.3836,9.51296,0,0.0938674,0,0,0,0.0938674,0,0,0,0.2145
259780000000,/,drone2,28,1,"container2",world,11.7889,1.94902,0,0.109664,0,0,0,0.109664,0,0,0,0.266792
259780000000,/,drone1,29,0,"container1",world,10.6006,-4.9225,0,0.0880212,0,0,0,0.0880212,0,0,0,0.202812
259780000000,/,drone2,30,0,"container1",world,10.846,-4.83665,0,0.0894365,0,0,0,0.0894365,0,0,0,0.207958
259780000000,/,drone2,31,1,"container2",world,12.5098,3.05619,0,0.0897441,0,0,0,0.0897441,0,0,0,0.210604
259864000000,/,drone2,26,2,"container3",world,10.3835,9.50259,0,0.0933259,0,0,0,0.0933259,0,0,0,0.21402
259864000000,/,drone2,28,1,"container2",world,11.6246,1.70672,0,0.103037,0,0,0,0.103037,0,0,0,0.249124
