stamp_ns,node_ns,src_drone_ns,fused_id,class_id,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
18644000000,/,drone1,0,-1,world,-0.890653,0.170722,0.000000,1.895886e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895886e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974566e+00
18720000000,/,drone1,0,-1,world,-0.889475,0.171229,0.000000,1.906755e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.906755e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.977570e+00
18812000000,/,drone1,0,-1,world,-0.890160,0.170929,0.000000,1.900343e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.900343e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975801e+00
18900000000,/,drone1,0,-1,world,-0.890473,0.170796,0.000000,1.897491e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.897491e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975012e+00
18976000000,/,drone1,0,-1,world,-0.890615,0.170738,0.000000,1.896228e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.896228e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974661e+00
19064000000,/,drone1,0,-1,world,-0.890680,0.170712,0.000000,1.895670e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895670e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974506e+00
19144000000,/,drone1,0,-1,world,-0.890709,0.170701,0.000000,1.895423e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895423e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974437e+00
19208000000,/,drone1,0,-1,world,-0.890722,0.170696,0.000000,1.895314e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895314e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974407e+00
19308000000,/,drone1,0,-1,world,-0.890728,0.170694,0.000000,1.895266e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895266e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974393e+00
19400000000,/,drone1,0,-1,world,-0.890731,0.170693,0.000000,1.895244e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895244e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974387e+00
19484000000,/,drone1,0,-1,world,-0.889510,0.171217,0.000000,1.906477e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.906477e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.977493e+00
19572000000,/,drone1,0,-1,world,-0.890176,0.170923,0.000000,1.900218e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.900218e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975767e+00
19648000000,/,drone1,0,-1,world,-0.890480,0.170794,0.000000,1.897436e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.897436e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974996e+00
19736000000,/,drone1,0,-1,world,-0.889397,0.171260,0.000000,1.907429e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.907429e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.977756e+00
19836000000,/,drone1,0,-1,world,-0.890124,0.170942,0.000000,1.900643e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.900643e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975885e+00
19924000000,/,drone1,0,-1,world,-0.890457,0.170802,0.000000,1.897624e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.897624e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975049e+00
19992000000,/,drone1,0,-1,world,-0.890608,0.170740,0.000000,1.896287e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.896287e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974677e+00
20076000000,/,drone1,0,-1,world,-0.890676,0.170713,0.000000,1.895696e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895696e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974513e+00
20164000000,/,drone1,0,-1,world,-0.890707,0.170701,0.000000,1.895434e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895434e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974440e+00
20240000000,/,drone1,0,-1,world,-0.890722,0.170696,0.000000,1.895319e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895319e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974408e+00
20308000000,/,drone1,0,-1,world,-0.890728,0.170694,0.000000,1.895268e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895268e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974394e+00
20400000000,/,drone1,0,-1,world,-0.890731,0.170693,0.000000,1.895245e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895245e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974388e+00
20496000000,/,drone1,0,-1,world,-0.855863,0.161217,0.000000,1.799875e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.799875e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.949703e+00
20596000000,/,drone1,0,-1,world,-0.820947,0.151717,0.000000,1.704169e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.704169e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.922869e+00
20660000000,/,drone1,0,-1,world,-0.785993,0.142192,0.000000,1.608114e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.608114e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.893586e+00
20728000000,/,drone1,0,-1,world,-0.751019,0.132643,0.000000,1.511698e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.511698e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.861501e+00
20800000000,/,drone1,0,-1,world,-0.716048,0.123074,0.000000,1.414914e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.414914e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.826189e+00
20900000000,/,drone1,0,-1,world,-0.681119,0.113487,0.000000,1.317762e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.317762e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.787138e+00
