stamp,drone,source,x,y,z,,,,,,,,,,,,,,,,
1.42,drone1,raw,0.993604,-0.600808,1.63873,,,,,,,,,,,,,,,,
1.44,drone2,raw,0.994109,-0.000825,1.653639,,,,,,,,,,,,,,,,
1.44,drone1,raw,0.994614,-0.600819,1.647898,,,,,,,,,,,,,,,,
1.44,drone3,raw,0.994617,0.59918,1.64851,,,,,,,,,,,,,,,,
1.46,drone1,raw,0.995535,-0.600831,1.655002,,,,,,,,,,,,,,,,
1.46,drone3,raw,0.995538,0.599168,1.655626,,,,,,,,,,,,,,,,
1.46,drone2,raw,0.995033,-0.000837,1.66076,,,,,,,,,,,,,,,,
1.48,drone1,raw,0.996319,-0.600844,1.659915,,,,,,,,,,,,,,,,
1.48,drone3,raw,0.996322,0.599155,1.660552,,,,,,,,,,,,,,,,
1.48,drone2,raw,0.99582,-0.00085,1.66569,,,,,,,,,,,,,,,,
1.5,drone3,raw,0.996928,0.599141,1.663214,,,,,,,,,,,,,,,,
1.5,drone2,raw,0.996428,-0.000864,1.668357,,,,,,,,,,,,,,,,
1.5,drone1,raw,0.996925,-0.600858,1.662564,,,,,,,,,,,,,,,,
1.52,drone1,raw,0.997315,-0.600872,1.662926,,,,,,,,,,,,,,,,
1.52,drone3,raw,0.997318,0.599127,1.663589,,,,,,,,,,,,,,,,
1.52,drone2,raw,0.99682,-0.000878,1.668736,,,,,,,,,,,,,,,,
1.54,drone1,raw,0.997461,-0.600887,1.661024,,,,,,,,,,,,,,,,
1.54,drone3,raw,0.997464,0.599112,1.661701,,,,,,,,,,,,,,,,
1.54,drone2,raw,0.996965,-0.000893,1.666854,,,,,,,,,,,,,,,,
1.56,drone2,raw,0.996843,-0.000908,1.662779,,,,,,,,,,,,,,,,
1.56,drone3,raw,0.997342,0.599097,1.657622,,,,,,,,,,,,,,,,
1.56,drone1,raw,0.997338,-0.600902,1.656931,,,,,,,,,,,,,,,,
1.58,drone1,raw,0.996934,-0.600917,1.650758,,,,,,,,,,,,,,,,
1.58,drone3,raw,0.996937,0.599082,1.651462,,,,,,,,,,,,,,,,
1.58,drone2,raw,0.996437,-0.000923,1.656625,,,,,,,,,,,,,,,,
1.6,drone2,raw,0.995744,-0.000937,1.648545,,,,,,,,,,,,,,,,
1.6,drone1,raw,0.996244,-0.600931,1.642658,,,,,,,,,,,,,,,,
1.6,drone3,raw,0.996246,0.599068,1.643375,,,,,,,,,,,,,,,,
1.62,drone1,raw,0.995273,-0.600944,1.632821,,,,,,,,,,,,,,,,
1.62,drone2,raw,0.99477,-0.000951,1.638727,,,,,,,,,,,,,,,,
1.62,drone3,raw,0.995275,0.599055,1.63355,,,,,,,,,,,,,,,,
1.64,drone3,raw,0.994043,0.599042,1.622212,,,,,,,,,,,,,,,,
1.64,drone1,raw,0.994042,-0.600957,1.621472,,,,,,,,,,,,,,,,
1.64,drone2,raw,0.993533,-0.000963,1.627396,,,,,,,,,,,,,,,,
1.66,drone3,raw,0.992582,0.599031,1.609616,,,,,,,,,,,,,,,,
1.66,drone2,raw,0.992067,-0.000974,1.614809,,,,,,,,,,,,,,,,
1.66,drone1,raw,0.992581,-0.600968,1.608865,,,,,,,,,,,,,,,,
1.68,drone2,raw,0.990417,-0.000985,1.601245,,,,,,,,,,,,,,,,
1.68,drone1,raw,0.990937,-0.600978,1.595284,,,,,,,,,,,,,,,,
1.68,drone3,raw,0.990937,0.599021,1.596043,,,,,,,,,,,,,,,,
1.7,drone3,raw,0.989165,0.599011,1.581797,,,,,,,,,,,,,,,,
1.7,drone2,raw,0.988639,-0.000994,1.587009,,,,,,,,,,,,,,,,
1.7,drone1,raw,0.989166,-0.600988,1.581029,,,,,,,,,,,,,,,,
1.72,drone3,raw,0.987333,0.599002,1.567196,,,,,,,,,,,,,,,,
1.72,drone2,raw,0.9868,-0.001003,1.572418,,,,,,,,,,,,,,,,
1.72,drone1,raw,0.987335,-0.600997,1.56642,,,,,,,,,,,,,,,,
1.74,drone1,raw,0.985514,-0.601005,1.551782,,,,,,,,,,,,,,,,
1.74,drone2,raw,0.984972,-0.001012,1.557798,,,,,,,,,,,,,,,,
1.74,drone3,raw,0.98551,0.598994,1.552566,,,,,,,,,,,,,,,,
1.76,drone3,raw,0.98377,0.598985,1.538234,,,,,,,,,,,,,,,,
1.76,drone2,raw,0.983226,-0.00102,1.543478,,,,,,,,,,,,,,,,
1.76,drone1,raw,0.983774,-0.601014,1.537444,,,,,,,,,,,,,,,,
1.78,drone1,raw,0.982185,-0.601023,1.523724,,,,,,,,,,,,,,,,
1.78,drone2,raw,0.98163,-0.001029,1.529777,,,,,,,,,,,,,,,,
1.78,drone3,raw,0.982179,0.598976,1.524521,,,,,,,,,,,,,,,,
1.8,drone3,raw,0.980797,0.598967,1.511731,,,,,,,,,,,,,,,,
1.8,drone1,raw,0.980802,-0.601032,1.510926,,,,,,,,,,,,,,,,
1.8,drone2,raw,0.980242,-0.001039,1.516998,,,,,,,,,,,,,,,,
1.82,drone2,raw,0.979109,-0.001049,1.505421,,,,,,,,,,,,,,,,
1.82,drone1,raw,0.979673,-0.601042,1.49933,,,,,,,,,,,,,,,,
1.82,drone3,raw,0.979667,0.598957,1.500143,,,,,,,,,,,,,,,,
1.84,drone1,raw,0.978827,-0.601053,1.489181,,,,,,,,,,,,,,,,
